courseId,videoName,videoPath,videoId(opt.)
thai,1.1 การอ่านจับใจความสำคัญ Wisuluck Nakkham.mp4,./videosrc/thai/1.1 การอ่านจับใจความสำคัญ Wisuluck Nakkham.mp4,
thai,2.1 การเรียงข้อความ Wisuluck Nakkham.mp4,./videosrc/thai/2.1 การเรียงข้อความ Wisuluck Nakkham.mp4,
thai,3.1 คำราชาศัพท์ Wisuluck Nakkham.mp4,./videosrc/thai/3.1 คำราชาศัพท์ Wisuluck Nakkham.mp4,
thai,4.1 อุปมาอุปไมย Wisuluck Nakkham.mp4,./videosrc/thai/4.1 อุปมาอุปไมย Wisuluck Nakkham.mp4,
thai,4.2+4.3.mp4,./videosrc/thai/4.2+4.3.mp4,
thai,4.4 ข้อสอบอุปมาอุปไมยชุดที่ 2 Wisuluck Nakkham.mp4,./videosrc/thai/4.4 ข้อสอบอุปมาอุปไมยชุดที่ 2 Wisuluck Nakkham.mp4,
learn_method,M.1 ไทยแลนด์ 4.0 Wisuluck Nakkham.mp4,./videosrc/learn_method/M.1 ไทยแลนด์ 4.0 Wisuluck Nakkham.mp4,
learn_method,M.3 ยุทธศาสตร์ชาติ 20 ปี Wisuluck Nakkham.mp4,./videosrc/learn_method/M.3 ยุทธศาสตร์ชาติ 20 ปี Wisuluck Nakkham.mp4,
learn_method,M.4 เศรษฐกิจพอเพียง Wisuluck Nakkham.mp4,./videosrc/learn_method/M.4 เศรษฐกิจพอเพียง Wisuluck Nakkham.mp4,
