courseId,videoName,videoPath,videoId(opt.)
law,4.1 Wisuluck Nakkham.mp4,./videosrc/law/4.1 Wisuluck Nakkham.mp4,
law,4.2 พรบความรับผิดทางละเมิดของเจ้าหน้าที่ Wisuluck Nakkham.mp4,./videosrc/law/4.2 พรบความรับผิดทางละเมิดของเจ้าหน้าที่ Wisuluck Nakkham.mp4,
law,5.1 Wisuluck Nakkham.mp4,./videosrc/law/5.1 Wisuluck Nakkham.mp4,
law,5.2 ข้อสอบเรื่องพรบมาตรฐานจริยธรรม Wisuluck Nakkham.mp4,./videosrc/law/5.2 ข้อสอบเรื่องพรบมาตรฐานจริยธรรม Wisuluck Nakkham.mp4,
law,6.1 Wisuluck Nakkham.mp4,./videosrc/law/6.1 Wisuluck Nakkham.mp4,
law,6.2.mp4,./videosrc/law/6.2.mp4,
