courseId,videoName,videoPath
cal-1,6.4_เทคนิคการอินทิเกรต_Part4,6.4_เทคนิคการอินทิเกรต_Part4
cal-1,6.5_เทคนิคการอินทิเกรต_Part5,6.5_เทคนิคการอินทิเกรต_Part5
