courseId,videoName,videoPath
cal-1,6.3_เทคนิคการอินทิเกรต_Part3,6.3_เทคนิคการอินทิเกรต_Part3
cal-1,6.2_เทคนิคการอินทิเกรต_Part2,6.2_เทคนิคการอินทิเกรต_Part2
cal-1,6.1_เทคนิคการอินทิเกรต_Part1,6.1_เทคนิคการอินทิเกรต_Part1
