courseId,videoName,videoPath,videoId(opt.)
law_short,2.1การบริหารราชการแผ่นดิน Wisuluck Nakkham.mp4,./videosrc/2.1การบริหารราชการแผ่นดิน Wisuluck Nakkham.mp4,
thai,5.2 ข้อสอบการเลือกใช้คำ ชุดที่ 1 Wisuluck Nakkham.mp4,./videosrc/5.2 ข้อสอบการเลือกใช้คำ ชุดที่ 1 Wisuluck Nakkham.mp4,
thai,5.3 ข้อสอบการเลือกใช้คำชุดที่ 2 Wisuluck Nakkham.mp4,./videosrc/5.3 ข้อสอบการเลือกใช้คำชุดที่ 2 Wisuluck Nakkham.mp4,
thai,M.2 แผนพัฒนาเศรษฐกิจและสังคมแห่งชาติ ฉบับที่ 13 Wisuluck Nakkham.mp4,./videosrc/M.2 แผนพัฒนาเศรษฐกิจและสังคมแห่งชาติ ฉบับที่ 13 Wisuluck Nakkham.mp4,
